"Ключевые фразы",Топонимы,"Специальные элементы в выдаче","Количество слов в ключевике",Сложность,Позиция,"Динамика изменения позиции",Частотность,Трафик,Стоимость,"Конкуренция в PPC, %",Результатов,URL
"list motywacyjny maszynista",,"pic,related_search,snip_breadcrumbs",3,N/A,4,0,10,1,0,22,56,https://resumaker.pl/przykładowe-list-motywacyjny/maszynista/
"podanie o prace jako pomoc kuchenna",,"pic,related_search,also_asks,snip_breadcrumbs",6,4,4,0,10,1,0,0,230000,https://resumaker.pl/przykładowe-list-motywacyjny/pomocnik-gastronomiczny/
"curriculum vitae marketing manager",,"also_asks,pic,related_search,snip_breadcrumbs",4,N/A,4,0,10,1,0.178404,30,90,https://resumaker.pl/przykładowe-cv/kierownik-ds-marketingu-marki/
"cv policjanta wzór",,"pic,related_search,ai_overview,also_asks,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,4,0,10,1,8.482899,59,3780,https://resumaker.pl/przykładowe-cv/specjalny-funkcjonariusz-policji/
"cv hostessa",,"ai_overview,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,1,4,0,10,1,0,0,4050000,https://resumaker.pl/przykładowe-cv/hostessa/
"cv do hotelu",,"also_asks,pic,related_search,ai_overview,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,4,4,0,10,1,0,4,333000,https://resumaker.pl/przykładowe-cv/pracownik-obsługi-pokoju/
"list motywacyjny stewardessa",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,1,4,0,10,1,0,0,90,https://resumaker.pl/przykładowe-list-motywacyjny/steward/
"list motywacyjny na rejestratorkę medyczną",,"pic,ai_overview,related_search,also_asks,snip_breadcrumbs",5,4,4,0,10,1,0.034759,40,252,https://resumaker.pl/przykładowe-list-motywacyjny/recepcjonistka-medyczna/
"cv instruktor fitness",,"pic,ai_overview,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,4,0,10,1,0,0,35300,https://resumaker.pl/przykładowe-cv/doświadczony-instruktor-fitness/
"list motywacyjny położna",,"related_search,pic,snip_breadcrumbs",3,3,4,0,10,1,0,5,90,https://resumaker.pl/przykładowe-list-motywacyjny/pielegniarka-neonatalna/
"cv lekarz dentysta",,"also_asks,pic,snip_breadcrumbs",3,2,4,0,1,0,0,0,90,https://resumaker.pl/przykładowe-cv/general-dentist/
"podanie o pracę pielęgniarka",,"pic,also_asks,related_search,snip_breadcrumbs",4,8,5,0,260,23,0.125119,2,90,https://resumaker.pl/przykładowe-list-motywacyjny/pielegniarka-zawodowa/
"ceo founder",,"ai_overview,pic,related_search,also_asks,snip_breadcrumbs",2,4,5,0,210,18,0,0,362000000,https://resumaker.pl/przykładowe-cv/ceo-and-founder/
"cv inżynier",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,5,5,0,170,15,0.199734,21,90,https://resumaker.pl/przykładowe-cv/inzynier-ogolny/
"resume cv",,"related_search,video,ai_overview,also_asks,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,15,5,0,170,15,0.572913,60,314000000,https://resumaker.pl/
"list motywacyjny na stanowisko urzędnicze wzór",,"also_asks,related_search,pic,snip_breadcrumbs",6,19,5,0,140,12,0.068988,28,90,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-administracyjny/
"programmer curriculum vitae",,"related_search,also_asks,pic,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,110,9,0.214147,8,4530000,https://resumaker.pl/przykładowe-cv/programowanie/
"list motywacyjny pielęgniarki",,"related_search,pic,snip_breadcrumbs",3,6,5,0,110,9,5.195453,16,90,https://resumaker.pl/przykładowe-list-motywacyjny/pielegniarka-praktyczna/
"cv kasjer sprzedawca",,"related_search,also_asks,ai_overview,snip_breadcrumbs",3,16,5,0,110,9,0.219023,15,812000,https://resumaker.pl/przykładowe-cv/kasjer-na-stacji-benzynowej/
"list motywacyjny pielęgniarka",,"related_search,pic,snip_breadcrumbs,snip_image_thumbnail",3,5,5,0,110,9,0.098211,25,90,https://resumaker.pl/przykładowe-list-motywacyjny/pielegniarka-praktyczna/
"list motywacyjny do szkoly",,"ai_overview,related_search,also_asks,pic,snip_breadcrumbs",4,6,5,-2,110,9,0,2,110,https://resumaker.pl/przykładowe-list-motywacyjny/nauczyciel-szkolny/
"generator list motywacyjny",,"related_search,snip_breadcrumbs",3,12,5,0,90,8,0.170886,52,101,https://resumaker.pl/list-motywacyjny/
"cv recepcjonisty",,"ai_overview,pic,related_search,snip_breadcrumbs",2,N/A,5,0,90,8,0.048138,11,71,https://resumaker.pl/przykładowe-cv/front-desk-recepcjonista/
"cv budowlańca",,"related_search,pic,also_asks,snip_breadcrumbs",2,6,5,0,90,8,0.114306,18,90,https://resumaker.pl/przykładowe-cv/robotnik-budowlany/
"list motywacyjny księgowej",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,8,5,0,90,8,0.039466,10,90,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-ksiegowosci/
"cv artystyczne",,"also_asks,pic,related_search,snip_breadcrumbs",2,3,5,0,90,8,0.161195,37,90,https://resumaker.pl/przykładowe-cv/artysta/
"cv recepcjonistka",,"also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,4,5,0,90,8,0.04831926361021,11,73,https://resumaker.pl/przykładowe-cv/pracownik-biurowy---recepcjonista/
"cv wzory sprzedawca",,"also_asks,ai_overview,related_search,snip_breadcrumbs",3,16,5,0,70,6,0.124999,3,100,https://resumaker.pl/przykładowe-cv/sprzedawca/
"curriculum vitae manager",,"video,related_search,pic,also_asks,snip_breadcrumbs",3,N/A,5,0,70,6,0.444471,15,80,https://resumaker.pl/przykładowe-cv/human-resources-manager/
"cv inside",,"related_search,pic,snip_breadcrumbs",2,N/A,5,0,70,6,0.538614,4,90,https://resumaker.pl/przykładowe-cv/inzynier-sprzedazy-wewnetrznej/
"cv trenera personalnego",,"related_search,also_asks,pic,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,70,6,0.431761,42,8390,https://resumaker.pl/przykładowe-cv/trener-osobisty/
"darmowy list motywacyjny",,"also_asks,ai_overview,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,13,5,0,70,6,0.253975,68,28500,https://resumaker.pl/list-motywacyjny/
"cv fotografa",,"also_asks,pic,snip_breadcrumbs",2,2,5,0,70,6,0.28239,3,90,https://resumaker.pl/przykładowe-cv/fotograf/
"podanie o prace opiekuna medycznego",,"also_asks,related_search,ai_overview,pic,snip_breadcrumbs",5,4,5,0,70,6,0,2,54100,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-opieki-osobistej/
"list motywacyjny darmowy kreator",,"related_search,snip_breadcrumbs",4,13,5,0,70,6,0.155363,74,36200,https://resumaker.pl/list-motywacyjny/
"cv kierownik",,"also_asks,ai_overview,related_search,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,3,5,0,70,6,0.128548,14,3240000,https://resumaker.pl/przykładowe-cv/kierownik-działu/
"list motywacyjny sprzedawca",,"pic,related_search,also_asks,snip_breadcrumbs",3,7,5,0,70,6,2.972675,9,90,https://resumaker.pl/przykładowe-list-motywacyjny/sprzedawca-czesci/
"list motywacyjny rejestratorka medyczna",,"ai_overview,also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",4,4,5,0,50,4,0,11,950,https://resumaker.pl/przykładowe-list-motywacyjny/recepcjonistka-medyczna/
"government cv",,"also_asks,pic,snip_breadcrumbs",2,N/A,5,0,50,4,0.343323,60,90,https://resumaker.pl/przykładowe-cv/rząd-kontrahent/
"cv do kawiarni",,"ai_overview,also_asks,related_search,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,2,5,0,50,4,0.152206,35,190000,https://resumaker.pl/przykładowe-cv/barista/
"ux designer cv",,"ai_overview,video,pic,snip_breadcrumbs",3,3,5,0,50,4,0.203527,10,15000000,https://resumaker.pl/przykładowe-cv/user-experience-designer/
"cv lekarza wzór",,"pic,related_search,snip_breadcrumbs",3,6,5,1,40,3,0.19563918929782,78,45,https://resumaker.pl/przykładowe-cv/lekarz-ogólny/
"vp sales",,"pic,also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,5,0,40,3,0,0,225000000,https://resumaker.pl/przykładowe-cv/vp-sprzedaż/
"fotograf cv",,"local_pack,pic,related_search,also_asks,snip_breadcrumbs",2,N/A,5,0,40,3,0.2951,6,100,https://resumaker.pl/przykładowe-cv/fotograf/
"specjalista ds obsługi klienta obowiązki",,"related_search,also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",5,N/A,5,0,40,3,0,10,977000,https://resumaker.pl/przykładowe-cv/specjalista-ds-obsługi-klienta/
"cv nauczyciel matematyki",,"ai_overview,pic,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,6,5,0,40,3,0.208671,41,220000,https://resumaker.pl/przykładowe-cv/nauczyciel-matematyki/
"list motywacyjny rejestratorka medyczna bez doświadczenia",,"ai_overview,also_asks,pic,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",6,4,5,0,40,3,0,6,549,https://resumaker.pl/przykładowe-list-motywacyjny/recepcjonistka-medyczna/
"cv nauczyciel przedszkola",,"also_asks,ai_overview,pic,related_search,snip_breadcrumbs",3,8,5,0,40,3,0.224733,26,316000,https://resumaker.pl/przykładowe-cv/doświadczony-przedszkolak-nauczyciel/
"przykład cv sprzedawca",,"related_search,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,N/A,5,0,40,3,4.412055,16,90,https://resumaker.pl/przykładowe-cv/sprzedawca/
"przykłady cv sprzedawca",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,40,3,0.101801,16,14100,https://resumaker.pl/przykładowe-cv/sprzedawca/
"życiorys do policji",,"ai_overview,also_asks,related_search,pic,snip_breadcrumbs,snip_fqdn_in_aio",3,3,5,0,40,3,0,0,372000,https://resumaker.pl/przykładowe-cv/porucznik-policji/
"list motywacyjny logistyk",,"related_search,pic,snip_breadcrumbs,snip_image_thumbnail",3,3,5,0,40,3,0,1,90,https://resumaker.pl/przykładowe-list-motywacyjny/technik-logistyki/
"list motywacyjny do pracy w sklepie",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",6,5,5,0,40,3,0.046369,31,1280000,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-sklepu/
"list motywacyjny praktyki",,"related_search,pic,snip_breadcrumbs",3,7,5,0,40,3,0.01,10,90,https://resumaker.pl/przykładowe-list-motywacyjny/praktykant/
"analityk logistyki",,"also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,1,5,0,40,3,0.01956,31,1490000,https://resumaker.pl/przykładowe-cv/analityk-ds-logistyki/
"życiorys artystyczny wzór",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,N/A,5,0,30,2,0,10,90,https://resumaker.pl/przykładowe-cv/artysta/
"list motywacyjny staż",,"also_asks,related_search,pic,snip_breadcrumbs",3,5,5,4,30,2,0,11,111,https://resumaker.pl/przykładowe-list-motywacyjny/praktykant/
"specjalista ds zarządzania projektami",,"related_search,ai_overview,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",4,1,5,0,30,2,0.074506,15,437000,https://resumaker.pl/przykładowe-cv/specjalista-ds-zarzadzania-projektami/
"list motywacyjny kreator darmowy",,"pic,related_search,snip_breadcrumbs",4,12,5,1,30,2,9.398071,79,103,https://resumaker.pl/list-motywacyjny/
"wzor cv sprzedawca",,"also_asks,related_search,pic,snip_breadcrumbs,snip_image_thumbnail",3,N/A,5,0,30,2,0.19,35,90,https://resumaker.pl/przykładowe-cv/sprzedawca-produktow/
"cv na stanowisko sprzedawcy",,"related_search,pic,also_asks,ai_overview,snip_breadcrumbs,snip_image_thumbnail,snip_fqdn_in_aio",4,15,5,0,30,2,0.161337,38,394000,https://resumaker.pl/przykładowe-cv/sprzedawca/
"list motywacyjny elektryk",,"pic,related_search,snip_breadcrumbs",3,1,5,0,30,2,0.108619,22,90,https://resumaker.pl/przykładowe-list-motywacyjny/elektryk/
"cv ekonomista",,"also_asks,related_search,pic,snip_breadcrumbs",2,N/A,5,-2,30,2,0,12,27,https://resumaker.pl/przykładowe-cv/ekonomista-analityk/
"życiorys na aplikację adwokacką",,"pic,ai_overview,related_search,also_asks,snip_breadcrumbs",4,N/A,5,0,30,2,0,0,2390,https://resumaker.pl/przykładowe-cv/adwokat/
"curriculum vitae data scientist",,"pic,video,related_search,snip_breadcrumbs",4,3,5,0,30,2,0,11,80,https://resumaker.pl/przykładowe-cv/experienced-data-scientist/
"list do dyrektora szkoły z prośbą",,"related_search,pic,also_asks,snip_breadcrumbs",6,3,5,0,30,2,0,0,90,https://resumaker.pl/przykładowe-list-motywacyjny/dyrektor-szkoły/
"cv kurier",,"also_asks,pic,related_search,snip_breadcrumbs",2,1,5,-1,30,2,10.175835,19,90,https://resumaker.pl/przykładowe-cv/kurier/
"cv copywriter",,"also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",2,1,5,1,30,2,0.21,17,81,https://resumaker.pl/przykładowe-cv/copywriter/
"cv pomoc nauczyciela",,"also_asks,related_search,ai_overview,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,4,5,0,30,2,0,81,951000,https://resumaker.pl/przykładowe-cv/pomocnik-nauczyciela/
"list motywacyjny studenta",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,5,5,0,30,2,0,6,90,https://resumaker.pl/przykładowe-list-motywacyjny/doradca-studenta/
"list motywacyjny asystentka stomatologiczna",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",4,2,5,0,30,2,0,0,81,https://resumaker.pl/przykładowe-list-motywacyjny/zarejestrowany-asystent-stomatologiczny/
"cv administracja",,"pic,also_asks,related_search,snip_breadcrumbs,snip_image_thumbnail",2,N/A,5,0,30,2,0.156135,45,63,https://resumaker.pl/przykładowe-cv/administracja-kancelaria/
"list motywacyjny psychologa",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,3,5,0,30,2,0.019307,7,81,https://resumaker.pl/przykładowe-list-motywacyjny/psycholog/
"cv specjalista ds sprzedaży",,"also_asks,pic,related_search,snip_breadcrumbs",4,1,5,0,30,2,0.209233,34,90,https://resumaker.pl/przykładowe-cv/pracownik-sprzedazy/
"cv opiekunki osób starszych",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,5,0,30,2,2.606994,43,129000,https://resumaker.pl/przykładowe-cv/pracownik-opieki-osobistej/
"kasjerka w banku",,"ai_overview,related_search,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,30,2,0,3,953000,https://resumaker.pl/przykładowe-cv/płyta-ławki/
"create résumé",,"related_search,also_asks,snip_breadcrumbs",2,N/A,5,0,30,2,1.612903,75,134,https://resumaker.pl/
"kierownik piekarni",,"also_asks,snip_breadcrumbs",2,N/A,5,-1,30,2,0.010957,13,103,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik-piekarni/
"w jakim programie napisać list motywacyjny",,"ai_overview,also_asks,related_search,pic,snip_breadcrumbs",6,N/A,5,0,20,1,0.259999,47,2070000,https://resumaker.pl/list-motywacyjny/
"przykładowe cv psychologa",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,6,5,1,20,1,0.100683,37,90,https://resumaker.pl/przykładowe-cv/psycholog-dziecięcy/
"kierownik banku",,"also_asks,ai_overview,snip_breadcrumbs",2,1,5,13,20,1,0,5,108,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik-banku/
"cv gastronomia wzór",,"related_search,also_asks,pic,ai_overview,snip_breadcrumbs",3,5,5,3,20,1,11.171595,39,67,https://resumaker.pl/przykładowe-cv/restauracja/
"call center operator",,"also_asks,related_search,snip_breadcrumbs",3,1,5,0,20,1,0,10,100,https://resumaker.pl/przykładowe-cv/operator-call-center/
"cv psychologa przykład",,"related_search,also_asks,pic,snip_breadcrumbs",3,N/A,5,1,20,1,0.492144,60,90,https://resumaker.pl/przykładowe-cv/psycholog-dziecięcy/
"analityk operacyjny",,"ai_overview,snip_breadcrumbs,snip_fqdn_in_aio",2,1,5,2,20,1,0.125817,8,185,https://resumaker.pl/przykładowe-list-motywacyjny/analityk-ds-operacji/
"list motywacyjny kadrowa",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,2,5,0,20,1,0,5,117000,https://resumaker.pl/przykładowe-list-motywacyjny/asystent-administracyjny-działu-kadr/
"koordynator administracyjny",,"also_asks,related_search,ai_overview,snip_breadcrumbs",2,N/A,5,0,20,1,0,7,2740000,https://resumaker.pl/przykładowe-cv/koordynator-administracyjny/
"cv operator koparki",,"related_search,ai_overview,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,20,1,0.110418,21,226000,https://resumaker.pl/przykładowe-cv/operator-urzadzen/
"cv dr",,"also_asks,related_search,pic,snip_breadcrumbs",2,N/A,5,0,20,1,0.39,33,90,https://resumaker.pl/przykładowe-cv/lekarz-ogólny/
"ceo cv",,"pic,ai_overview,also_asks,related_search,snip_breadcrumbs",2,N/A,5,,20,1,0.15441,30,137,https://resumaker.pl/przykładowe-cv/prezes-zarządu-i-współzałożyciel/
"cv analityka",,"pic,snip_breadcrumbs",2,1,5,0,20,1,0,0,90,https://resumaker.pl/przykładowe-cv/bi-analityk/
"cv worker",,"also_asks,related_search,pic,snip_breadcrumbs",2,2,5,0,20,1,0.5,69,90,https://resumaker.pl/
"starszy technik farmaceutyczny",,"also_asks,ai_overview,snip_breadcrumbs",3,1,5,-1,20,1,0,0,109,https://resumaker.pl/przykładowe-cv/starszy-technik-farmaceutyczny/
"cv do policji wzór",,"related_search,pic,ai_overview,also_asks,snip_breadcrumbs,snip_image_thumbnail",4,3,5,0,20,1,0,16,59400,https://resumaker.pl/przykładowe-cv/specjalny-funkcjonariusz-policji/
"cv do pracy w kawiarni",,"ai_overview,pic,related_search,also_asks,snip_breadcrumbs,snip_fqdn_in_aio",5,N/A,5,0,20,1,0.176608,43,65,https://resumaker.pl/przykładowe-cv/kierownik-sklepu-z-kawą/
"cv projektant",,"pic,also_asks,related_search,snip_breadcrumbs",2,N/A,5,-2,20,1,0,29,90,https://resumaker.pl/przykładowe-cv/projektant/
"tester cv",,"pic,also_asks,related_search,snip_breadcrumbs",2,2,5,0,20,1,0.21,14,90,https://resumaker.pl/przykładowe-cv/tester-qa/
"recepcjonista cv",,"ai_overview,pic,also_asks,related_search,snip_breadcrumbs,snip_image_thumbnail",2,N/A,5,0,20,1,0,46,73800,https://resumaker.pl/przykładowe-cv/pracownik-biurowy---recepcjonista/
"cv konserwator",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",2,1,5,0,20,1,0.18,31,90,https://resumaker.pl/przykładowe-cv/konserwator-budynku/
"jak napisać cv do pracy w sklepie",,"ai_overview,related_search,pic,also_asks,snip_breadcrumbs",7,16,5,0,20,1,0.048703,96,1760000,https://resumaker.pl/przykładowe-cv/pracownik-sklepu/
"list motywacyjny stanowisko urzędnicze",,"pic,ai_overview,also_asks,related_search,snip_breadcrumbs",4,19,5,3,20,1,0.018567,26,107,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-administracyjny/
"tech cv",,"also_asks,related_search,pic,snip_breadcrumbs",2,N/A,5,0,20,1,0.379284,18,90,https://resumaker.pl/przykładowe-cv/technology-recuiter/
"list motywacyjny pedagog",,"also_asks,related_search,ai_overview,pic,snip_breadcrumbs",3,N/A,5,-1,20,1,0,13,108,https://resumaker.pl/przykładowe-list-motywacyjny/nauczyciel-szkolny/
"list motywacyjny kasjer sprzedawca bez doświadczenia",,"also_asks,related_search,ai_overview,snip_breadcrumbs",6,N/A,5,0,20,1,0,26,6130,https://resumaker.pl/przykładowe-list-motywacyjny/kasjer/
"specjalista ds zasobów ludzkich",,"also_asks,ai_overview,snip_breadcrumbs",4,N/A,5,8,20,1,0,10,106,https://resumaker.pl/przykładowe-cv/specjalista-ds-zasobów-ludzkich/
"cv przedstawiciel handlowy bez doświadczenia",,"related_search,pic,also_asks,ai_overview,snip_breadcrumbs",5,N/A,5,0,20,1,0,0,825000,https://resumaker.pl/przykładowe-cv/sprzedaż-rep/
"umiejętności komunikacyjne cv",,"also_asks,related_search,pic,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,22,5,0,20,1,0.033702,12,280000,"https://resumaker.pl/przykładowe-cv/komunikacja kliniczna/"
"list motywacyjny pielęgniarka wzór",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",4,6,5,0,20,1,0.034795,39,90,https://resumaker.pl/przykładowe-list-motywacyjny/pielegniarka-praktyczna/
"bank cv",,"ai_overview,related_search,pic,also_asks,video,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,5,0,20,1,0.34,29,599000000,https://resumaker.pl/przykładowe-cv/personal-banking/
"analityk produkcji",,"also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,1,5,0,20,1,0,17,200000,https://resumaker.pl/przykładowe-cv/analityk-produkcji/
"cv artystyczne wzór",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,N/A,5,0,20,1,10.225178,72,72,https://resumaker.pl/przykładowe-cv/artysta/
"doświadczenie w sprzedaży",,"also_asks,pic,related_search,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,20,1,0,0,8570000,https://resumaker.pl/przykładowe-cv/experienced-field-sales-representative/
"cv aplikanta adwokackiego",,"ai_overview,pic,also_asks,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,10,0,0,14,2580,https://resumaker.pl/przykładowe-cv/adwokat/
"podsumowanie zawodowe obsługa klienta",,"pic,also_asks,a_box_fsnippet,related_search,snip_breadcrumbs",4,N/A,5,0,10,0,0,21,90,https://resumaker.pl/przykładowe-cv/klient---współpracownik/
"list motywacyjny na stanowisko kucharza",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",5,3,5,0,10,0,0,0,91,https://resumaker.pl/przykładowe-list-motywacyjny/kucharz/
"cv administrator it",,"pic,related_search,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,10,0,0,30,19000000,https://resumaker.pl/przykładowe-cv/administrator-systemu/
"inżynier metalurg",,"pic,also_asks,snip_breadcrumbs",2,1,5,0,10,0,0,0,13200,https://resumaker.pl/przykładowe-cv/metalurg/
"administrator it cv",,"related_search,ai_overview,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,10,0,0,21,19300000,https://resumaker.pl/przykładowe-cv/administrator-systemu/
"list motywacyjny starszy referent",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",4,N/A,5,0,10,0,0,46,30,https://resumaker.pl/przykładowe-list-motywacyjny/starszy-referent-ds-sprzedazy/
"list motywacyjny tłumacz",,"pic,ai_overview,related_search,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,1,5,0,10,0,0,0,10700,https://resumaker.pl/przykładowe-list-motywacyjny/tłumacz-ustny/
"podanie o pracę sprzedawca",,"related_search,also_asks,pic,snip_breadcrumbs",4,5,5,0,10,0,0,0,136000,https://resumaker.pl/przykładowe-list-motywacyjny/sprzedawca-czesci/
"kontakt z klientem cv",,"pic,related_search,also_asks,snip_breadcrumbs",4,N/A,5,0,10,0,1.57449,21,181000,https://resumaker.pl/przykładowe-cv/klient---współpracownik/
"posiadam doświadczenie",,"pic,related_search,video,also_asks,snip_breadcrumbs",2,N/A,5,0,10,0,0,0,80,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-doku/
"podaj swoją dyspozycyjność co wpisać",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",5,N/A,5,0,10,0,0,0,12200,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-dyspozycyjny/
"cv na sekretarke",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,N/A,5,0,10,0,0,86,62100,https://resumaker.pl/przykładowe-cv/administracyjno-sekretarski/
"sekretarka cv",,"related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,2,5,0,10,0,0,43,73000,https://resumaker.pl/przykładowe-cv/administracyjno-sekretarski/
"cv kawiarnia",,"also_asks,ai_overview,pic,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,5,0,10,0,0.080613165054969,25,124000,https://resumaker.pl/przykładowe-cv/cafe-manager/
"cv trenera",,"also_asks,pic,ai_overview,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,2,5,0,10,0,27.641628,29,128000,https://resumaker.pl/przykładowe-cv/trener-osobisty/
"cv doktor",,"also_asks,related_search,pic,snip_breadcrumbs,snip_image_thumbnail",2,N/A,5,0,10,0,0,5,297,https://resumaker.pl/przykładowe-cv/lekarz-ogólny/
"cv experienced",,"related_search,pic,video,also_asks,snip_breadcrumbs",2,N/A,5,0,10,0,0,0,80,https://resumaker.pl/przykładowe-cv/experienced-recruiter/
"cv hostessy",,"also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",2,1,5,0,10,0,0,8,90,https://resumaker.pl/przykładowe-cv/hostessa/
"list motywacyjny o przyjęcie do szkoły",,"also_asks,related_search,ai_overview,pic,snip_breadcrumbs",6,6,5,0,10,0,0,21,129000,https://resumaker.pl/przykładowe-list-motywacyjny/nauczyciel-szkoły-sredniej/
"cv na stanowisko dyrektora",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,5,0,10,0,0,57,128000,https://resumaker.pl/przykładowe-cv/dyrektor-zarządzający/
"list motywacyjny do itd",,"also_asks,pic,snip_breadcrumbs",4,N/A,5,0,10,0,0,0,24500,https://resumaker.pl/przykładowe-list-motywacyjny/specjalista-ds-transportu/
"list motywacyjny farmaceuta",,"related_search,also_asks,snip_breadcrumbs",3,1,5,0,10,0,0,33,100,https://resumaker.pl/przykładowe-list-motywacyjny/farmaceuta-szpitalny/
"cv wzór do sklepu",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",4,N/A,5,0,10,0,0,71,118000,https://resumaker.pl/przykładowe-cv/pracownik-sklepu/
"cv dla budowlanca",,"pic,related_search,snip_breadcrumbs",3,N/A,5,0,10,0,0,11,90,https://resumaker.pl/przykładowe-cv/robotnik-budowlany/
"dyrektor ds komunikacji",,"also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,5,0,10,0,0,5,2630000,https://resumaker.pl/przykładowe-cv/dyrektor-ds-komunikacji/
